"targets","layer","filename","fld_value","units","name","description","layer_gl","path_in","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"CP","hab_coral_extent","hab_coral_extent_gl2016placeholder.csv","km2","km2","Habitat extent of saltmarsh","Area of coral habitat","hab_coral_extent","~/github/ohi-global/eez/layers/hab_coral_extent.csv","rgn_id",,"habitat","year","km2",,TRUE,Inf,-Inf,,,FALSE,,,,9,TRUE
"CPHAB","hab_coral_health","hab_coral_health_gl2016placeholder.csv","health","proportion","Habitat condition of seagrass","Current condition of coral habitat relative to historical condition","hab_coral_health","~/github/ohi-global/eez/layers/hab_coral_health.csv","rgn_id",,"habitat","year","health",,TRUE,Inf,-Inf,,,FALSE,,,,9,TRUE
"CPHAB","hab_coral_trend","hab_coral_trend_gl2016placeholder.csv","trend","trend","Habitat condition trend of seagrass","Estimated change in coral condition","hab_coral_trend","~/github/ohi-global/eez/layers/hab_coral_trend.csv","rgn_id",,"habitat","year","trend",,TRUE,Inf,-Inf,,,FALSE,,,,9,TRUE
"CSCP","hab_seagrass_extent","hab_seagrass_extent_gl2016placeholder.csv","km2","km2","Habitat extent of saltmarsh","Area of seagrass habitat","hab_seagrass_extent","~/github/ohi-global/eez/layers/hab_seagrass_extent.csv","rgn_id",,"habitat","year","km2",,TRUE,Inf,-Inf,,,FALSE,,,,9,TRUE
"CSHABCP","hab_mangrove_health","hab_mangrove_health_gl2016placeholder.csv","health","proportion","Habitat condition of mangrove","Current condition of mangrove habitat relative to historical condition","hab_mangrove_health","~/github/ohi-global/eez/layers/hab_mangrove_health.csv","rgn_id",,"habitat","year","health",,TRUE,Inf,-Inf,,,FALSE,,,,9,TRUE
"CSHABCP","hab_mangrove_trend","hab_mangrove_trend_gl2016placeholder.csv","trend","trend","Habitat condition trend of mangrove","Estimated change in mangrove condition","hab_mangrove_trend","~/github/ohi-global/eez/layers/hab_mangrove_trend.csv","rgn_id",,"habitat","year","trend",,TRUE,Inf,-Inf,,,FALSE,,,,9,TRUE
"CSHABCP","hab_seagrass_health","hab_seagrass_health_gl2016placeholder.csv","health","proportion","Habitat condition of seagrass","Current condition of seagrass habitat relative to historical condition","hab_seagrass_health","~/github/ohi-global/eez/layers/hab_seagrass_health.csv","rgn_id",,"habitat","year","health",,TRUE,Inf,-Inf,,,FALSE,,,,9,TRUE
"CSHABCP","hab_seagrass_trend","hab_seagrass_trend_gl2016placeholder.csv","trend","trend","Habitat condition trend of seagrass","Estimated change in seagrass condition","hab_seagrass_trend","~/github/ohi-global/eez/layers/hab_seagrass_trend.csv","rgn_id",,"habitat","year","trend",,TRUE,Inf,-Inf,,,FALSE,,,,9,TRUE
"NP","np_blast","np_blast_gl2016placeholder.csv","score","score","Areas of blast fishing","Destructive artisanal blast fishing","np_blast","~/github/ohi-global/eez/layers/np_blast.csv","rgn_id",,,,"score",,TRUE,,,,,FALSE,,,,9,TRUE
"NP","np_cyanide","np_cyanide_gl2016placeholder.csv","score","score","Areas of poison fishing","Destructive artisanal poison (cyanide) fishing","np_cyanide","~/github/ohi-global/eez/layers/np_cyanide.csv","rgn_id",,,,"score",,TRUE,,,,,FALSE,,,,9,TRUE
"TR","tr_travelwarnings","tr_travelwarnings_gl2016placeholder.csv","multiplier","score","US State Department travel warnings","Countries with US State Department travel warnings","tr_travelwarnings","~/github/ohi-global/eez/layers/tr_travelwarnings.csv","rgn_id",,,"year","multiplier",,TRUE,Inf,-Inf,,,FALSE,,,,9,TRUE
