key,study_area,gl_rgn_id,gl_rgn_name,dir_shp_files,default_scenario,year
ohi-israel,Israel,79,Israel,,med2014,2014
gye,Golfo de Guayaquil,137,Ecuador,/Volumes/data_edit/git-annex/clip-n-ship/gye,region2015,2015
chn,China,209,China,/Volumes/data_edit/git-annex/clip-n-ship/chn,province2015,2015
bhi,Baltic,,Baltic,/Volumes/data_edit/git-annex/clip-n-ship/bhi,baltic2015,2015
ohi-global,Global,,Global,/Volumes/data_edit/git-annex/clip-n-ship/ohi-global,eez2014,2014
arc,Arctic,,Arctic,/Volumes/data_edit/git-annex/clip-n-ship/arc,circle2016,2016
ohibc,British Columbia,218,British Columbia,/Volumes/data_edit/git-annex/clip-n-ship/ohibc,region2016,2016
col,Colombia,132,Colombia,/Volumes/data_edit/git-annex/clip-n-ship/col,subcountry2014,2014
cdz,Gulfo de Cadiz,182,Spain,/Volumes/data_edit/git-annex/clip-n-ship/cdz,gulfo2015,2015
cnc,Nouvelle-Cal̩donie,5,New Caledonia,/Volumes/data_edit/git-annex/clip-n-ship/cnc,eez2016,2016
rdv,Ria de Vigo,182,Spain,/Volumes/data_edit/git-annex/clip-n-ship/rdv,municipal2016,2016
chl,Chile,224,Chile,/Volumes/data_edit/git-annex/clip-n-ship/chl,region2016,2016
mhi,Main Hawaiian Islands,163,United States,/Volumes/data_edit/git-annex/clip-n-ship/mhi,region2017,2017
clme,Caribbean Large Marine Ecosystem,,Caribbean Large Marine Ecosystem,,clme2017,2017
ohi-northeast,US Northeast,163,United States,~github/ohi-northeast/spatial,region2016,2016
toolbox-demo,Toolbox Demo,224,Chile,/Volumes/data_edit/git-annex/clip-n-ship/chl,region2016,2016
bali,Bali,216,Indonesia,,,
pemsea,PEMSEA,216,Indonesia,,,
can-atl,Canada Atlantic,218,Canada Atlantic,/Volumes/data_edit/git-annex/clip-n-ship/can-atl,region2017,2017
mex,Mexico,135,Mexico,,,
sur,Suriname,168,Suriname,,,
uki,United Kingdom,180,United Kingdom,/Volumes/data_edit/git-annex/clip-n-ship/gbr,uk2017,2017
test2,Test2,135,Mexico,,,
