sc_key,sc_name,sc_key_old,gl_rgn_id,gl_rgn_name,gl_rgn_key,sc_annex_dir
xwk,Wake Island,wake_island,12,Wake Island,XWK,NA
xpx,Phoenix Group,phoenix_group,157,Phoenix Group,XPX,NA
xpv,Puerto Rico and Virgin Islands of the United States,puerto_rico_and_virgin_islands_of_the_united_states,116,Puerto Rico and Virgin Islands of the United States,XPV,NA
xpa,Palmyra Atoll,palmyra_atoll,150,Palmyra Atoll,XPA,NA
xoa,Oecussi Ambeno,oecussi_ambeno,237,Oecussi Ambeno,XOA,NA
xma,Madeira,madeira,57,Madeira,XMA,NA
xlg,Line Group,line_group,148,Line Group,XLG,NA
xkg,Kerguelen Islands,kerguelen_islands,93,Kerguelen Islands,XKG,NA
xjv,Jarvis Island,jarvis_island,149,Jarvis Island,XJV,NA
xjo,Johnston Atoll,johnston_atoll,159,Johnston Atoll,XJO,NA
xjn,Juan de Nova Island,juan_de_nova_island,33,Juan de Nova Island,XJN,NA
xit,Ile Tromelin,ile_tromelin,36,Ile Tromelin,XIT,NA
xgm,Guadeloupe and Martinique,guadeloupe_and_martinique,140,Guadeloupe and Martinique,XGM,NA
xgl,Glorioso Islands,glorioso_islands,30,Glorioso Islands,XGL,NA
xeu,Ile Europa,ile_europa,35,Ile Europa,XEU,NA
xcz,Crozet Islands,crozet_islands,91,Crozet Islands,XCZ,NA
xci,Canary Islands,canary_islands,58,Canary Islands,XCI,NA
xbq,Bonaire,bonaire,245,Bonaire,XBQ,NA
xbi,Bassas da India,bassas_da_india,34,Bassas da India,XBI,NA
xaz,Azores,azores,55,Azores,XAZ,NA
xas,Amsterdam Island and Saint Paul Island,amsterdam_island_and_saint_paul_island,92,Amsterdam Island and Saint Paul Island,XAS,NA
xan,Andaman and Nicobar,andaman_and_nicobar,26,Andaman and Nicobar,XAN,NA
wsm,Samoa,samoa,152,Samoa,WSM,/Volumes/data_edit/git-annex/clip-n-ship/wsm
wlf,Wallis and Futuna,wallis_and_futuna,161,Wallis and Futuna,WLF,/Volumes/data_edit/git-annex/clip-n-ship/wlf
vut,Vanuatu,vanuatu,6,Vanuatu,VUT,/Volumes/data_edit/git-annex/clip-n-ship/vut
vnm,Vietnam,vietnam,207,Vietnam,VNM,/Volumes/data_edit/git-annex/clip-n-ship/vnm
vgb,British Virgin Islands,british_virgin_islands,117,British Virgin Islands,VGB,/Volumes/data_edit/git-annex/clip-n-ship/vgb
vct,Saint Vincent and the Grenadines,saint_vincent_and_the_grenadines,127,Saint Vincent and the Grenadines,VCT,/Volumes/data_edit/git-annex/clip-n-ship/vct
usa,United States,united_states,163,United States,USA,/Volumes/data_edit/git-annex/clip-n-ship/usa
ury,Uruguay,uruguay,173,Uruguay,URY,/Volumes/data_edit/git-annex/clip-n-ship/ury
ukr,Ukraine,ukraine,75,Ukraine,UKR,/Volumes/data_edit/git-annex/clip-n-ship/ukr
twn,Taiwan,taiwan,14,Taiwan,TWN,/Volumes/data_edit/git-annex/clip-n-ship/twn
tuv,Tuvalu,tuvalu,19,Tuvalu,TUV,/Volumes/data_edit/git-annex/clip-n-ship/tuv
tur,Turkey,turkey,76,Turkey,TUR,/Volumes/data_edit/git-annex/clip-n-ship/tur
tun,Tunisia,tunisia,61,Tunisia,TUN,/Volumes/data_edit/git-annex/clip-n-ship/tun
tto,Trinidad and Tobago,trinidad_and_tobago,126,Trinidad and Tobago,TTO,/Volumes/data_edit/git-annex/clip-n-ship/tto
tls,East Timor,east_timor,231,East Timor,TLS,/Volumes/data_edit/git-annex/clip-n-ship/tls
tkl,Tokelau,tokelau,156,Tokelau,TKL,/Volumes/data_edit/git-annex/clip-n-ship/tkl
tha,Thailand,thailand,25,Thailand,THA,/Volumes/data_edit/git-annex/clip-n-ship/tha
tgo,Togo,togo,98,Togo,TGO,/Volumes/data_edit/git-annex/clip-n-ship/tgo
tca,Turks and Caicos Islands,turks_and_caicos_islands,111,Turks and Caicos Islands,TCA,/Volumes/data_edit/git-annex/clip-n-ship/tca
ton,Tonga,tonga,155,Tonga,TON,/Volumes/data_edit/git-annex/clip-n-ship/ton
