"rgn_id","habitat","extent_rank"
1,"seagrass",8.73251
1,"saltmarsh",87.9
1,"seaice_shoreline",23223
2,"seagrass",8.73251
2,"saltmarsh",87.9
2,"seaice_shoreline",23223
3,"seagrass",8.73251
3,"saltmarsh",87.9
3,"seaice_shoreline",23223
4,"seagrass",8.73251
4,"saltmarsh",87.9
4,"seaice_shoreline",23223
5,"seagrass",8.73251
5,"saltmarsh",87.9
5,"seaice_shoreline",23223
6,"seaice_shoreline",32959.6
7,"seaice_shoreline",32959.6
8,"seaice_shoreline",32959.6
9,"seaice_shoreline",32959.6
10,NA,NA
11,"seagrass",747.503
11,"seaice_shoreline",17402
12,"seagrass",747.503
12,"seaice_shoreline",17402
13,"seagrass",747.503
13,"seaice_shoreline",17402
14,"seagrass",747.503
14,"seaice_shoreline",17402
15,"saltmarsh",850.35
15,"seaice_shoreline",9080.88
16,"saltmarsh",850.35
16,"seaice_shoreline",9080.88
17,"seagrass",2.61975
17,"saltmarsh",21.15
18,"seagrass",668.91
18,"seaice_shoreline",1.84075e+06
19,"seagrass",668.91
19,"seaice_shoreline",1.84075e+06
20,"seaice_shoreline",1341.91
21,"saltmarsh",2.46
21,"seaice_shoreline",8100.49
22,"saltmarsh",2.46
22,"seaice_shoreline",8100.49
23,"saltmarsh",15
23,"seaice_shoreline",14368.9
24,"saltmarsh",15
24,"seaice_shoreline",14368.9
25,"saltmarsh",15
25,"seaice_shoreline",14368.9
