"rgn_id","year","count"
1,1988,19347
1,1989,17594.7
1,1990,17290.7
1,1991,17988.1
1,1992,16396.7
1,1993,21439.1
1,1994,19597.3
1,1995,18989.4
1,1996,20312.6
1,1997,22529.8
1,1998,22583.4
1,1999,23531.1
1,2000,22154.3
1,2001,24925.8
1,2002,24550.3
1,2003,22815.9
1,2004,22994.7
1,2005,23870.8
1,2006,25712.6
1,2007,27160.9
1,2008,28215.9
1,2009,31255.6
1,2010,31541.7
1,2011,31613.2
1,2012,31666.9
1,2013,32721.8
2,1988,2404.2
2,1989,2186.44
2,1990,2148.67
2,1991,2235.32
2,1992,2037.57
2,1993,2664.17
2,1994,2435.3
2,1995,2359.76
2,1996,2524.18
2,1997,2799.71
2,1998,2806.38
2,1999,2924.14
2,2000,2753.05
2,2001,3097.46
2,2002,3050.8
2,2003,2835.26
2,2004,2857.48
2,2005,2966.36
2,2006,3195.23
2,2007,3375.21
2,2008,3506.3
2,2009,3884.04
2,2010,3919.59
2,2011,3928.48
2,2012,3935.15
2,2013,4066.25
3,1988,3304.43
3,1989,3005.14
3,1990,2953.22
3,1991,3072.33
3,1992,2800.52
3,1993,3661.75
3,1994,3347.19
3,1995,3243.35
3,1996,3469.35
3,1997,3848.04
3,1998,3857.21
3,1999,4019.07
3,2000,3783.91
3,2001,4257.28
3,2002,4193.15
3,2003,3896.91
3,2004,3927.45
3,2005,4077.09
3,2006,4391.66
3,2007,4639.03
3,2008,4819.22
3,2009,5338.4
3,2010,5387.26
3,2011,5399.48
3,2012,5408.64
3,2013,5588.83
4,1988,4722.09
4,1989,4294.39
4,1990,4220.2
4,1991,4390.41
4,1992,4001.99
4,1993,5232.7
4,1994,4783.19
4,1995,4634.8
4,1996,4957.76
4,1997,5498.92
4,1998,5512.01
4,1999,5743.32
4,2000,5407.27
4,2001,6083.72
4,2002,5992.08
4,2003,5568.75
4,2004,5612.39
4,2005,5826.24
4,2006,6275.75
4,2007,6629.25
4,2008,6886.74
4,2009,7628.66
4,2010,7698.49
4,2011,7715.94
4,2012,7729.04
4,2013,7986.53
5,1988,1040.13
5,1989,945.925
5,1990,929.583
5,1991,967.074
5,1992,881.517
5,1993,1152.61
5,1994,1053.59
5,1995,1020.91
5,1996,1092.04
5,1997,1211.25
5,1998,1214.13
5,1999,1265.08
5,2000,1191.06
5,2001,1340.06
5,2002,1319.87
5,2003,1226.63
5,2004,1236.24
5,2005,1283.34
5,2006,1382.36
5,2007,1460.22
5,2008,1516.94
5,2009,1680.36
5,2010,1695.74
5,2011,1699.59
5,2012,1702.47
5,2013,1759.19
6,1988,25078
6,1989,25721.1
6,1990,25194.9
6,1991,27357.8
6,1992,29871.5
