"rgn_id","rgn_name","area_km2","cntry_name","basin_name"
1,"SE_BB",18604.3,"Sweden","Bothnian Bay"
2,"SE_BS",34326.9,"Sweden","Bothnian Sea"
3,"SE_BP",87672.6,"Sweden","Baltic Proper"
4,"SE_KT",6609.47,"Sweden","Kattegat"
5,"SE_SO",943.798,"Sweden","The Sound"
6,"FI_BB",16964,"Finland","Bothnian Bay"
7,"FI_BS",30031.4,"Finland","Bothnian Sea"
8,"FI_AS",12937.4,"Finland","Archipelago Sea"
9,"FI_GF",9463.7,"Finland","Gulf of Finland"
10,"FI_BP",10240.4,"Finland","Baltic Proper"
11,"DK_BP",12605.4,"Denmark","Baltic Proper"
12,"DK_KT",16231.4,"Denmark","Kattegat"
13,"DK_SO",1345.03,"Denmark","The Sound"
14,"DK_WB",12270,"Denmark","Western Baltic"
15,"DE_BP",9504.24,"Germany","Baltic Proper"
16,"DE_WB",5494.21,"Germany","Western Baltic"
17,"PL_BP",31833.4,"Poland","Baltic Proper"
18,"RU_GF",11272.4,"Russia","Gulf of Finland"
19,"RU_BP",11477.4,"Russia","Baltic Proper"
20,"LT_BP",6082.96,"Lithuania","Baltic Proper"
21,"LV_BP",20970.3,"Latvia","Baltic Proper"
22,"LV_GR",7834.11,"Latvia","Gulf of Riga"
23,"ES_GF",8123.33,"Estonia","Gulf of Finland"
24,"ES_BP",17208.8,"Estonia","Baltic Proper"
25,"ES_GR",10203,"Estonia","Gulf of Riga"
