"goal","method","reference_point"
"FIS","b/bmsy: modeled",NA
"MAR","spatial 95th quantile","region id: 181 value: 0.014117048311101"
"AO","??",NA
"NP","Harvest peak within region times 0.65 buffer","varies for each region"
