"sc_key","travis_status","date_checked"
"gnb","errored","2015-05-29 15:01:37"
"gnq","passed","2015-05-29 15:01:44"
"grc","passed","2015-05-29 15:01:49"
"grd","passed","2015-05-29 15:01:54"
"guf","failed","2015-05-29 15:02:00"
"hnd","failed","2015-05-29 15:02:05"
"hrv","failed","2015-05-29 15:02:11"
"hti","failed","2015-05-29 15:02:31"
"idn","failed","2015-05-29 15:02:36"
"irn","failed","2015-05-29 15:02:41"
"isl","failed","2015-05-29 15:02:45"
"ita","failed","2015-05-29 15:02:49"
"jam","passed","2015-05-29 15:02:54"
"jor","failed","2015-05-29 15:02:57"
"khm","failed","2015-05-29 15:03:03"
"kir","failed","2015-05-29 15:03:07"
"kwt","failed","2015-05-29 15:03:13"
"lbn","failed","2015-05-29 15:03:17"
"lbr","failed","2015-05-29 15:03:24"
"lby","failed","2015-05-29 15:03:32"
"lca","failed","2015-05-29 15:03:38"
"lka","failed","2015-05-29 15:03:42"
"mar","passed","2015-05-29 15:03:45"
"mdg","passed","2015-05-29 15:03:51"
"mdv","passed","2015-05-29 15:03:54"
"mex","passed","2015-05-29 15:04:00"
"mhl","passed","2015-05-29 15:04:05"
"mlt","passed","2015-05-29 15:04:11"
"mmr","passed","2015-05-29 15:04:20"
"mne","passed","2015-05-29 15:04:26"
"moz","passed","2015-05-29 15:04:31"
"mrt","passed","2015-05-29 15:04:35"
"msr","passed","2015-05-29 15:04:39"
"mus","passed","2015-05-29 15:04:42"
"mys","passed","2015-05-29 15:04:46"
"myt","passed","2015-05-29 15:04:49"
"nam","passed","2015-05-29 15:04:52"
"ncl","passed","2015-05-29 15:04:55"
"nfk","passed","2015-05-29 15:04:59"
"nga","passed","2015-05-29 15:05:05"
"nic","failed","2015-05-29 15:05:08"
"niu","passed","2015-05-29 15:05:14"
"nor","passed","2015-05-29 15:05:18"
"nru","passed","2015-05-29 15:05:20"
"nzl","passed","2015-05-29 15:05:26"
"omn","passed","2015-05-29 15:05:35"
"pak","passed","2015-05-29 15:05:38"
"pan","passed","2015-05-29 15:05:43"
"per","passed","2015-05-29 15:05:49"
"phl","passed","2015-05-29 15:05:53"
"plw","passed","2015-05-29 15:05:56"
"png","passed","2015-05-29 15:05:59"
"prk","passed","2015-05-29 15:06:02"
"prt","passed","2015-05-29 15:06:05"
"pyf","passed","2015-05-29 15:06:11"
"qat","passed","2015-05-29 15:06:17"
"reu","passed","2015-05-29 15:06:20"
"rou","passed","2015-05-29 15:06:26"
"rus","passed","2015-05-29 15:06:29"
"sau","passed","2015-05-29 15:06:35"
"sdn","passed","2015-05-29 15:06:40"
"sen","logged","2015-05-29 15:06:43"
"sgp","logged","2015-05-29 15:06:46"
"sgs","logged","2015-05-29 15:06:49"
"shn","logged","2015-05-29 15:06:52"
"slb","logged","2015-05-29 15:06:55"
"sle","logged","2015-05-29 15:06:59"
"slv","logged","2015-05-29 15:07:02"
"som","logged","2015-05-29 15:07:05"
"spm","logged","2015-05-29 15:07:07"
"stp","logged","2015-05-29 15:07:10"
"sur","logged","2015-05-29 15:07:13"
"svn","logged","2015-05-29 15:07:16"
"swe","logged","2015-05-29 15:07:19"
"sxm","logged","2015-05-29 15:07:22"
"syc","logged","2015-05-29 15:07:25"
"syr","logged","2015-05-29 15:07:28"
"tca","logged","2015-05-29 15:07:30"
"tgo","logged","2015-05-29 15:07:33"
"tha","logged","2015-05-29 15:07:36"
"tkl","logged","2015-05-29 15:07:39"
"tls","logged","2015-05-29 15:07:42"
"ton","logged","2015-05-29 15:07:46"
"tto","logged","2015-05-29 15:07:49"
"tun","logged","2015-05-29 15:07:52"
"tur","logged","2015-05-29 15:07:55"
"tuv","logged","2015-05-29 15:07:58"
"twn","logged","2015-05-29 15:08:04"
"tza","logged","2015-05-29 15:08:06"
"ukr","logged","2015-05-29 15:08:09"
"ury","logged","2015-05-29 15:08:12"
"usa","errored","2015-05-29 15:08:15"
"vct","logged","2015-05-29 15:08:19"
"ven","logged","2015-05-29 15:08:22"
"vgb","logged","2015-05-29 15:08:24"
"vnm","logged","2015-05-29 15:08:27"
"vut","logged","2015-05-29 15:08:30"
"wlf","logged","2015-05-29 15:08:32"
"wsm","logged","2015-05-29 15:08:35"
"yem","logged","2015-05-29 15:08:37"
"zaf","failed","2015-05-29 15:08:40"
"cmr","passed","2015-05-29 15:08:44"
