"sc_key","travis_status","date_checked"
"aia","passed","2014-11-28 23:38:45"
"asm","passed","2014-11-28 23:38:53"
"chn","passed","2014-11-28 23:39:29"
"maf","failed","2014-11-28 23:44:38"
"mar","passed","2014-11-28 23:44:40"
"mco","failed","2014-11-28 23:44:41"
"mdg","passed","2014-11-28 23:44:42"
"mdv","passed","2014-11-28 23:44:44"
"mex","passed","2014-11-28 23:44:46"
"mhl","passed","2014-11-28 23:44:48"
"mlt","passed","2014-11-28 23:44:49"
"mmr","passed","2014-11-28 23:44:51"
"mne","passed","2014-11-28 23:44:53"
"moz","passed","2014-11-28 23:44:54"
"mrt","passed","2014-11-28 23:44:56"
"msr","passed","2014-11-28 23:44:57"
"mus","passed","2014-11-28 23:45:00"
"mys","passed","2014-11-28 23:45:03"
"myt","passed","2014-11-28 23:45:05"
"nam","passed","2014-11-28 23:45:07"
"ncl","passed","2014-11-28 23:45:08"
"nfk","passed","2014-11-28 23:45:10"
"nga","passed","2014-11-28 23:45:17"
"nic","passed","2014-11-28 23:45:19"
"niu","passed","2014-11-28 23:45:20"
"nld","failed","2014-11-28 23:45:22"
"nor","passed","2014-11-28 23:45:53"
"nru","passed","2014-11-28 23:45:55"
"nzl","passed","2014-11-28 23:46:04"
"omn","passed","2014-11-28 23:46:08"
"pak","passed","2014-11-28 23:46:10"
"pan","passed","2014-11-28 23:46:11"
"per","passed","2014-11-28 23:46:12"
"phl","passed","2014-11-28 23:46:14"
"plw","passed","2014-11-28 23:46:17"
"png","passed","2014-11-28 23:46:18"
"prk","passed","2014-11-28 23:46:22"
"prt","passed","2014-11-28 23:46:23"
"pyf","passed","2014-11-28 23:46:25"
"qat","passed","2014-11-28 23:46:26"
"reu","passed","2014-11-28 23:46:26"
"rou","passed","2014-11-28 23:46:27"
"rus","passed","2014-11-28 23:46:29"
"sau","passed","2014-11-28 23:46:31"
"sdn","passed","2014-11-28 23:46:32"
"sen","passed","2014-11-28 23:46:34"
"sgp","passed","2014-11-28 23:46:35"
"sgs","passed","2014-11-28 23:46:37"
"shn","passed","2014-11-28 23:46:38"
"slb","passed","2014-11-28 23:46:40"
"sle","passed","2014-11-28 23:46:41"
"slv","passed","2014-11-28 23:46:42"
"som","passed","2014-11-28 23:46:43"
"spm","passed","2014-11-28 23:46:45"
"stp","passed","2014-11-28 23:46:46"
"sur","passed","2014-11-28 23:46:47"
"svn","passed","2014-11-28 23:46:49"
"swe","passed","2014-11-28 23:46:51"
"sxm","passed","2014-11-28 23:46:52"
"syc","passed","2014-11-28 23:46:53"
"syr","passed","2014-11-28 23:46:57"
"tca","passed","2014-11-28 23:46:58"
"tgo","passed","2014-11-28 23:46:59"
"tha","passed","2014-11-28 23:47:00"
"tkl","passed","2014-11-28 23:47:02"
"tls","passed","2014-11-28 23:47:03"
"ton","passed","2014-11-28 23:47:04"
"tto","passed","2014-11-28 23:47:06"
"tun","passed","2014-11-28 23:47:10"
"tur","passed","2014-11-28 23:47:12"
"tuv","passed","2014-11-28 23:47:14"
"twn","passed","2014-11-28 23:47:15"
"tza","passed","2014-11-28 23:47:17"
"ukr","passed","2014-11-28 23:47:21"
"ury","passed","2014-11-28 23:47:23"
"vct","passed","2014-11-28 23:47:27"
"ven","passed","2014-11-28 23:47:28"
"vgb","passed","2014-11-28 23:47:30"
"vnm","passed","2014-11-28 23:47:32"
"vut","passed","2014-11-28 23:47:33"
"wlf","passed","2014-11-28 23:47:35"
"wsm","passed","2014-11-28 23:47:36"
"yem","passed","2014-11-28 23:47:37"
"zaf","passed","2014-11-28 23:47:39"
"civ","no draft repo","2014-11-30 22:11:38"
"gye","CLI","2015-03-25 13:03:58"
"bhi","CLI","2015-04-21 00:39:14"
"cog","enabled","2015-05-18 16:57:30"
"blz","enabled","2015-05-19 17:27:06"
"usa","errored","2015-05-19 18:19:55"
"abw","enabled","2015-05-20 13:51:44"
"ago","enabled","2015-05-20 13:51:55"
"alb","enabled","2015-05-20 13:52:09"
"are","enabled","2015-05-20 13:52:26"
"arg","enabled","2015-05-20 13:52:41"
"atg","enabled","2015-05-20 13:52:51"
"aus","enabled","2015-05-20 13:53:02"
"bel","enabled","2015-05-20 13:53:18"
"ben","enabled","2015-05-20 13:53:34"
"bgd","enabled","2015-05-20 13:53:46"
"bgr","enabled","2015-05-20 14:08:47"
"bhr","enabled","2015-05-20 14:08:59"
"bhs","enabled","2015-05-20 14:09:15"
"bih","enabled","2015-05-20 14:09:33"
"bmu","enabled","2015-05-20 14:09:52"
"bra","enabled","2015-05-20 14:10:14"
"brb","enabled","2015-05-20 14:10:24"
"brn","enabled","2015-05-20 14:10:48"
"bvt","enabled","2015-05-20 14:10:58"
"can","enabled","2015-05-20 14:11:08"
"cck","enabled","2015-05-20 14:11:18"
"chl","enabled","2015-05-20 14:11:40"
"cmr","enabled","2015-05-20 14:12:00"
"cod","enabled","2015-05-20 14:12:12"
"cok","enabled","2015-05-20 14:12:29"
"col","enabled","2015-05-20 14:12:38"
"com","enabled","2015-05-20 14:12:54"
"cpt","enabled","2015-05-20 14:13:05"
