"Country","finished","status","url_github_repo","url_shiny_app","error"
"Albania",TRUE,"","https://github.com/OHI-Science/ohi-albania","https://ohi-science.shinyapps.io/albania",""
"Algeria",TRUE,"","https://github.com/OHI-Science/ohi-algeria","https://ohi-science.shinyapps.io/algeria",""
"American Samoa",TRUE,"","https://github.com/OHI-Science/ohi-american_samoa","https://ohi-science.shinyapps.io/american_samoa",""
"Angola",TRUE,"","https://github.com/OHI-Science/ohi-angola","https://ohi-science.shinyapps.io/angola",""
"Anguilla",TRUE,"","https://github.com/OHI-Science/ohi-anguilla","https://ohi-science.shinyapps.io/anguilla",""
"Antigua and Barbuda",TRUE,"","https://github.com/OHI-Science/ohi-antigua_and_barbuda","https://ohi-science.shinyapps.io/antigua_and_barbuda",""
"Argentina",TRUE,"","https://github.com/OHI-Science/ohi-argentina","https://ohi-science.shinyapps.io/argentina",""
"Aruba",TRUE,"","https://github.com/OHI-Science/ohi-aruba","https://ohi-science.shinyapps.io/aruba",""
"Australia",TRUE,"","https://github.com/OHI-Science/ohi-australia","https://ohi-science.shinyapps.io/australia",""
"Bahamas",TRUE,"","https://github.com/OHI-Science/ohi-bahamas","https://ohi-science.shinyapps.io/bahamas",""
"Bahrain",TRUE,"","https://github.com/OHI-Science/ohi-bahrain","https://ohi-science.shinyapps.io/bahrain",""
"Bangladesh",TRUE,"","https://github.com/OHI-Science/ohi-bangladesh","https://ohi-science.shinyapps.io/bangladesh",""
"Barbados",TRUE,"","https://github.com/OHI-Science/ohi-barbados","https://ohi-science.shinyapps.io/barbados",""
"Belgium",TRUE,"","https://github.com/OHI-Science/ohi-belgium","https://ohi-science.shinyapps.io/belgium",""
"Belize",TRUE,"","https://github.com/OHI-Science/ohi-belize","https://ohi-science.shinyapps.io/belize",""
"Benin",TRUE,"","https://github.com/OHI-Science/ohi-benin","https://ohi-science.shinyapps.io/benin",""
"British Indian Ocean Territory",TRUE,"","https://github.com/OHI-Science/ohi-british_indian_ocean_territory","https://ohi-science.shinyapps.io/british_indian_ocean_territory",""
"British Virgin Islands",TRUE,"","https://github.com/OHI-Science/ohi-british_virgin_islands","https://ohi-science.shinyapps.io/british_virgin_islands",""
"Brunei",TRUE,"","https://github.com/OHI-Science/ohi-brunei","https://ohi-science.shinyapps.io/brunei",""
"Bulgaria",TRUE,"","https://github.com/OHI-Science/ohi-bulgaria","https://ohi-science.shinyapps.io/bulgaria",""
"Cambodia",TRUE,"","https://github.com/OHI-Science/ohi-cambodia","https://ohi-science.shinyapps.io/cambodia",""
"Cameroon",TRUE,"","https://github.com/OHI-Science/ohi-cameroon","https://ohi-science.shinyapps.io/cameroon",""
"Cape Verde",TRUE,"","https://github.com/OHI-Science/ohi-cape_verde","https://ohi-science.shinyapps.io/cape_verde",""
"Cayman Islands",TRUE,"","https://github.com/OHI-Science/ohi-cayman_islands","https://ohi-science.shinyapps.io/cayman_islands",""
"Christmas Island",TRUE,"","https://github.com/OHI-Science/ohi-christmas_island","https://ohi-science.shinyapps.io/christmas_island",""
"Cocos Islands",TRUE,"","https://github.com/OHI-Science/ohi-cocos_islands","https://ohi-science.shinyapps.io/cocos_islands",""
"Colombia",TRUE,"","https://github.com/OHI-Science/ohi-colombia","https://ohi-science.shinyapps.io/colombia",""
"Costa Rica",TRUE,"","https://github.com/OHI-Science/ohi-costa_rica","https://ohi-science.shinyapps.io/costa_rica",""
"Croatia",TRUE,"","https://github.com/OHI-Science/ohi-croatia","https://ohi-science.shinyapps.io/croatia",""
"Cuba",TRUE,"","https://github.com/OHI-Science/ohi-cuba","https://ohi-science.shinyapps.io/cuba",""
"Cyprus",TRUE,"","https://github.com/OHI-Science/ohi-cyprus","https://ohi-science.shinyapps.io/cyprus",""
"Democratic Republic of the Congo",TRUE,"","https://github.com/OHI-Science/ohi-democratic_republic_of_the_congo","https://ohi-science.shinyapps.io/democratic_republic_of_the_congo",""
"Denmark",TRUE,"","https://github.com/OHI-Science/ohi-denmark","https://ohi-science.shinyapps.io/denmark",""
"Dominica",TRUE,"","https://github.com/OHI-Science/ohi-dominica","https://ohi-science.shinyapps.io/dominica",""
"Dominican Republic",TRUE,"","https://github.com/OHI-Science/ohi-dominican_republic","https://ohi-science.shinyapps.io/dominican_republic",""
"East Timor",TRUE,"","https://github.com/OHI-Science/ohi-east_timor","https://ohi-science.shinyapps.io/east_timor",""
"Egypt",TRUE,"","https://github.com/OHI-Science/ohi-egypt","https://ohi-science.shinyapps.io/egypt",""
"El Salvador",TRUE,"","https://github.com/OHI-Science/ohi-el_salvador","https://ohi-science.shinyapps.io/el_salvador",""
"Equatorial Guinea",TRUE,"","https://github.com/OHI-Science/ohi-equatorial_guinea","https://ohi-science.shinyapps.io/equatorial_guinea",""
"Falkland Islands",TRUE,"","https://github.com/OHI-Science/ohi-falkland_islands","https://ohi-science.shinyapps.io/falkland_islands",""
"France",TRUE,"","https://github.com/OHI-Science/ohi-france","https://ohi-science.shinyapps.io/france",""
"French Guiana",TRUE,"","https://github.com/OHI-Science/ohi-french_guiana","https://ohi-science.shinyapps.io/french_guiana",""
"French Polynesia",TRUE,"","https://github.com/OHI-Science/ohi-french_polynesia","https://ohi-science.shinyapps.io/french_polynesia",""
"Gabon",TRUE,"","https://github.com/OHI-Science/ohi-gabon","https://ohi-science.shinyapps.io/gabon",""
"Gambia",TRUE,"","https://github.com/OHI-Science/ohi-gambia","https://ohi-science.shinyapps.io/gambia",""
"Germany",TRUE,"","https://github.com/OHI-Science/ohi-germany","https://ohi-science.shinyapps.io/germany",""
"Ghana",TRUE,"","https://github.com/OHI-Science/ohi-ghana","https://ohi-science.shinyapps.io/ghana",""
