OBJECTID,rgn_id,rgn_name,gadm_count,NAME_0
5,5,New Caledonia,3.0,New Caledonia
6,6,Vanuatu,6.0,Vanuatu
7,7,Solomon Islands,8.0,Solomon Islands
8,8,Palau,13.0,Palau
9,9,Micronesia,4.0,Micronesia
10,10,Nauru,14.0,Nauru
14,14,Taiwan,4.0,Taiwan
15,15,Philippines,82.0,Philippines
16,16,Australia,11.0,Australia
17,17,Papua New Guinea,19.0,Papua New Guinea
18,18,Fiji,5.0,Fiji
19,19,Tuvalu,8.0,Tuvalu
20,20,South Korea,16.0,South Korea
21,21,North Korea,14.0,North Korea
22,24,Cambodia,24.0,Cambodia
23,25,Thailand,78.0,Thailand
26,29,Mayotte,17.0,Mayotte
29,32,Reunion,4.0,Reunion
34,37,Mauritius,12.0,Mauritius
37,40,Sri Lanka,25.0,Sri Lanka
38,41,Mozambique,10.0,Mozambique
39,42,Madagascar,6.0,Madagascar
40,43,Kenya,8.0,Kenya
41,44,Somalia,18.0,Somalia
42,45,Eritrea,6.0,Eritrea
43,46,Djibouti,5.0,Djibouti
44,47,Yemen,21.0,Yemen
45,48,Oman,8.0,Oman
46,49,Sudan,6.0,Sudan
47,50,Saudi Arabia,13.0,Saudi Arabia
48,51,Kuwait,5.0,Kuwait
49,52,Bahrain,5.0,Bahrain
50,53,Pakistan,8.0,Pakistan
51,54,United Arab Emirates,8.0,United Arab Emirates
53,56,Cape Verde,17.0,Cape Verde
56,59,Belgium,3.0,Belgium
58,61,Tunisia,24.0,Tunisia
59,62,Morocco,15.0,Morocco
60,63,Western Sahara,4.0,Western Sahara
61,64,Mauritania,13.0,Mauritania
62,65,Gambia,6.0,Gambia
63,66,Senegal,11.0,Senegal
64,67,Libya,32.0,Libya
66,69,Latvia,5.0,Latvia
67,70,Estonia,16.0,Estonia
68,71,Bulgaria,28.0,Bulgaria
69,72,Romania,41.0,Romania
70,73,Russia,89.0,Russia
71,74,Georgia,12.0,Georgia
72,75,Ukraine,27.0,Ukraine
73,76,Turkey,81.0,Turkey
74,77,Syria,14.0,Syria
75,78,Lebanon,6.0,Lebanon
77,80,Greece,14.0,Greece
78,81,Cyprus,6.0,Cyprus
79,82,Albania,12.0,Albania
80,84,Algeria,48.0,Algeria
82,86,Saint Helena,3.0,Saint Helena
91,96,Sierra Leone,4.0,Sierra Leone
92,97,Liberia,15.0,Liberia
93,98,Togo,5.0,Togo
94,99,Benin,12.0,Benin
96,101,Namibia,13.0,Namibia
97,102,South Africa,10.0,South Africa
98,103,Sao Tome and Principe,2.0,Sao Tome and Principe
99,104,Equatorial Guinea,7.0,Equatorial Guinea
101,106,Ghana,10.0,Ghana
103,108,Bermuda,11.0,Bermuda
104,110,Bahamas,32.0,Bahamas
105,111,Turks and Caicos Islands,6.0,Turks and Caicos Islands
106,112,Cuba,15.0,Cuba
107,113,Cayman Islands,7.0,Cayman Islands
108,114,Haiti,10.0,Haiti
109,115,Dominican Republic,32.0,Dominican Republic
113,119,Saint Kitts and Nevis,14.0,Saint Kitts and Nevis
114,120,Antigua and Barbuda,8.0,Antigua and Barbuda
116,122,Saint Lucia,10.0,Saint Lucia
117,123,Dominica,10.0,Dominica
118,124,Barbados,11.0,Barbados
119,125,Grenada,7.0,Grenada
120,126,Trinidad and Tobago,14.0,Trinidad and Tobago
121,127,Saint Vincent and the Grenadines,6.0,Saint Vincent and the Grenadines
122,129,Panama,12.0,Panama
123,130,Costa Rica,7.0,Costa Rica
124,131,Nicaragua,18.0,Nicaragua
125,132,Colombia,32.0,Colombia
126,133,Honduras,18.0,Honduras
127,134,El Salvador,14.0,El Salvador
128,135,Mexico,32.0,Mexico
129,136,Guatemala,22.0,Guatemala
130,137,Ecuador,21.0,Ecuador
131,138,Peru,25.0,Peru
132,139,Venezuela,24.0,Venezuela
135,143,Iceland,8.0,Iceland
137,145,Greenland,3.0,Greenland
143,151,American Samoa,4.0,American Samoa
144,152,Samoa,11.0,Samoa
147,155,Tonga,5.0,Tonga
148,156,Tokelau,3.0,Tokelau
152,161,Wallis and Futuna,3.0,Wallis and Futuna
153,162,New Zealand,16.0,New Zealand
154,163,United States,51.0,United States
155,164,Belize,6.0,Belize
156,166,Jamaica,14.0,Jamaica
157,167,Guyana,10.0,Guyana
158,168,Suriname,10.0,Suriname
159,169,French Guiana,2.0,French Guiana
160,171,Brazil,27.0,Brazil
161,172,Argentina,24.0,Argentina
162,173,Uruguay,19.0,Uruguay
163,174,Finland,5.0,Finland
164,175,Denmark,14.0,Denmark
165,176,Germany,16.0,Germany
166,177,Netherlands,14.0,Netherlands
167,178,Poland,16.0,Poland
168,179,France,22.0,France
169,180,United Kingdom,4.0,United Kingdom
170,181,Ireland,26.0,Ireland
171,182,Spain,18.0,Spain
172,183,Portugal,20.0,Portugal
173,184,Italy,20.0,Italy
175,186,Montenegro,21.0,Montenegro
176,187,Croatia,21.0,Croatia
177,188,Slovenia,12.0,Slovenia
178,189,Lithuania,10.0,Lithuania
179,190,Qatar,9.0,Qatar
180,191,Iran,30.0,Iran
181,192,Iraq,18.0,Iraq
183,194,Guinea,8.0,Guinea
185,196,Nigeria,38.0,Nigeria
186,197,Cameroon,10.0,Cameroon
187,198,Gabon,9.0,Gabon
188,199,Democratic Republic of the Congo,9.0,Democratic Republic of the Congo
189,200,Angola,18.0,Angola
190,202,Tanzania,26.0,Tanzania
191,203,India,35.0,India
192,204,Bangladesh,6.0,Bangladesh
193,205,Myanmar,14.0,Myanmar
194,206,Malaysia,13.0,Malaysia
195,207,Vietnam,8.0,Vietnam
197,209,China,32.0,China
198,210,Japan,47.0,Japan
201,214,Egypt,26.0,Egypt
202,215,Jordan,12.0,Jordan
203,216,Indonesia,33.0,Indonesia
204,218,Canada,13.0,Canada
205,219,Saint Pierre and Miquelon,2.0,Saint Pierre and Miquelon
208,222,Sweden,21.0,Sweden
209,223,Norway,19.0,Norway
210,224,Chile,14.0,Chile
213,231,East Timor,13.0,East Timor
214,232,Bosnia and Herzegovina,3.0,Bosnia and Herzegovina
218,247,Brunei,4.0,Brunei
