OBJECTID,rgn_id,rgn_name,gadm_count,NAME_0,gadm_synonym
87,92,Amsterdam Island and Saint Paul Island,,,
24,26,Andaman and Nicobar,,,
81,85,Ascension,,,
52,55,Azores,,,
31,34,Bassas da India,,,
217,245,Bonaire,,,"Bonaire, Saint Eustatius and Saba"
55,58,Canary Islands,,,
25,28,Comoro Islands,,,Comoros
86,91,Crozet Islands,,,
216,244,Curacao,,,Curaçao
134,141,Faeroe Islands,,,Faroe Islands
27,30,Glorioso Islands,,,
133,140,Guadeloupe and Martinique,,,Guadeloupe | Martinique
182,193,Guinea Bissau,,,Guinea-Bissau
89,94,Heard and McDonald Islands,,,Heard Island and McDonald Islands
150,158,Howland Island and Baker Island,,,
32,35,Ile Europa,,,
33,36,Ile Tromelin,,,
184,195,Ivory Coast,,,Côte d'Ivoire
136,144,Jan Mayen,,,
141,149,Jarvis Island,,,
151,159,Johnston Atoll,,,
30,33,Juan de Nova Island,,,
88,93,Kerguelen Islands,,,
140,148,Line Group,,,
4,4,Macquarie Island,,,
54,57,Madeira,,,
13,13,Northern Mariana Islands and Guam,,,Northern Mariana Islands | Guam
207,221,Northern Saint-Martin,,,Saint-Martin
215,237,Oecussi Ambeno,,,
142,150,Palmyra Atoll,,,
149,157,Phoenix Group,,,
138,146,Pitcairn,,,
85,90,Prince Edward Islands,,,
110,116,Puerto Rico and Virgin Islands of the United States,,,"Puerto Rico | Virgin Islands, U.S."
95,100,Republique du Congo,,,Democratic Republic of the Congo
219,248,Saba,,,"Bonaire, Saint Eustatius and Saba"
220,249,Sint Eustatius,,,"Bonaire, Saint Eustatius and Saba"
83,88,Tristan da Cunha,,,
12,12,Wake Island,,,
