"Country","init_app","status","url_github_repo","url_shiny_app","error"
"Albania",FALSE,"","","",""
"Algeria",FALSE,"","","",""
"American Samoa",FALSE,"","","",""
"Angola",FALSE,"","","",""
"Anguilla",FALSE,"","","",""
"Antigua and Barbuda",FALSE,"","","",""
"Argentina",FALSE,"","","",""
"Aruba",FALSE,"","","",""
"Australia",FALSE,"","","",""
"Bahamas",FALSE,"","","",""
"Bahrain",FALSE,"","","",""
"Bangladesh",FALSE,"","","",""
"Barbados",FALSE,"","","",""
"Belgium",FALSE,"","","",""
"Belize",FALSE,"","","",""
"Benin",FALSE,"","","",""
"Bermuda",FALSE,"","","",""
"Bosnia and Herzegovina",FALSE,"","","",""
"Bouvet Island",FALSE,"","","",""
"Brazil",FALSE,"","","",""
"British Indian Ocean Territory",FALSE,"","","",""
"British Virgin Islands",FALSE,"","","",""
"Brunei",FALSE,"","","",""
"Bulgaria",FALSE,"","","",""
"Cambodia",FALSE,"","","",""
"Cameroon",FALSE,"","","",""
"Canada",FALSE,"","","",""
"Cape Verde",FALSE,"","","",""
"Cayman Islands",FALSE,"","","",""
"Chile",FALSE,"","","",""
"China",FALSE,"","","",""
"Christmas Island",FALSE,"","","",""
"Clipperton Island",FALSE,"","","",""
"Cocos Islands",FALSE,"","","",""
"Colombia",FALSE,"","","",""
"Comoro Islands",FALSE,"","","",""
"Cook Islands",FALSE,"","","",""
"Costa Rica",FALSE,"","","",""
"Croatia",FALSE,"","","",""
"Cuba",FALSE,"","","",""
"Curacao",FALSE,"","","",""
"Cyprus",FALSE,"","","",""
"Democratic Republic of the Congo",FALSE,"","","",""
"Denmark",FALSE,"","","",""
"Djibouti",FALSE,"","","",""
"Dominica",FALSE,"","","",""
"Dominican Republic",FALSE,"","","",""
"East Timor",FALSE,"","","",""
"Ecuador",FALSE,"","","",""
"Egypt",FALSE,"","","",""
"El Salvador",FALSE,"","","",""
"Equatorial Guinea",FALSE,"","","",""
"Eritrea",FALSE,"","","",""
"Estonia",FALSE,"","","",""
"Faeroe Islands",FALSE,"","","",""
"Falkland Islands",FALSE,"","","",""
"Fiji",FALSE,"","","",""
"Finland",FALSE,"","","",""
"France",FALSE,"","","",""
"French Guiana",FALSE,"","","",""
"French Polynesia",FALSE,"","","",""
"Gabon",FALSE,"","","",""
"Gambia",FALSE,"","","",""
"Georgia",FALSE,"","","",""
"Germany",FALSE,"","","",""
"Ghana",FALSE,"","","",""
"Gibraltar",FALSE,"","","",""
"Greece",FALSE,"","","",""
"Greenland",FALSE,"","","",""
"Grenada",FALSE,"","","",""
"Guatemala",FALSE,"","","",""
"Guernsey",FALSE,"","","",""
"Guinea",FALSE,"","","",""
"Guinea Bissau",FALSE,"","","",""
"Guyana",FALSE,"","","",""
"Haiti",FALSE,"","","",""
"Heard and McDonald Islands",FALSE,"","","",""
"Honduras",FALSE,"","","",""
"Iceland",FALSE,"","","",""
"India",FALSE,"","","",""
"Indonesia",FALSE,"","","",""
"Iran",FALSE,"","","",""
"Iraq",FALSE,"","","",""
"Ireland",FALSE,"","","",""
"Italy",FALSE,"","","",""
"Ivory Coast",FALSE,"","","",""
"Jamaica",FALSE,"","","",""
"Japan",FALSE,"","","",""
"Jersey",FALSE,"","","",""
"Jordan",FALSE,"","","",""
"Kenya",FALSE,"","","",""
"Kiribati",FALSE,"","","",""
"Kuwait",FALSE,"","","",""
"Latvia",FALSE,"","","",""
"Lebanon",FALSE,"","","",""
"Liberia",FALSE,"","","",""
"Libya",FALSE,"","","",""
"Lithuania",FALSE,"","","",""
"Madagascar",FALSE,"","","",""
"Malaysia",FALSE,"","","",""
"Maldives",FALSE,"","","",""
"Malta",FALSE,"","","",""
"Marshall Islands",FALSE,"","","",""
"Mauritania",FALSE,"","","",""
"Mauritius",FALSE,"","","",""
"Mayotte",FALSE,"","","",""
