"sc_key","travis_secure","travis_recip","travis_status","date_checked"
"aia",TRUE,FALSE,,"2015-05-20 12:08:49"
"asm",TRUE,FALSE,,"2015-05-20 12:08:52"
"bhi",FALSE,TRUE,,"2015-05-20 12:08:57"
"blz",TRUE,TRUE,"enabled","2015-05-20 12:09:00"
"chn",TRUE,FALSE,,"2015-05-20 12:09:08"
"civ",FALSE,FALSE,,"2015-05-20 12:09:08"
"cog",TRUE,TRUE,,"2015-05-20 12:09:11"
"gye",TRUE,TRUE,,"2015-05-20 12:09:49"
"maf",FALSE,FALSE,,"2015-05-20 12:10:15"
"mar",TRUE,FALSE,,"2015-05-20 12:10:16"
"mco",FALSE,FALSE,,"2015-05-20 12:10:17"
"mdg",TRUE,FALSE,,"2015-05-20 12:10:18"
"mdv",TRUE,FALSE,,"2015-05-20 12:10:18"
"mex",TRUE,FALSE,,"2015-05-20 12:10:20"
"mhl",TRUE,FALSE,,"2015-05-20 12:10:21"
"mlt",TRUE,FALSE,,"2015-05-20 12:10:22"
"mmr",TRUE,FALSE,,"2015-05-20 12:10:23"
"mne",TRUE,FALSE,,"2015-05-20 12:10:23"
"moz",TRUE,FALSE,,"2015-05-20 12:10:24"
"mrt",TRUE,FALSE,,"2015-05-20 12:10:25"
"msr",TRUE,FALSE,,"2015-05-20 12:10:26"
"mus",TRUE,FALSE,,"2015-05-20 12:10:27"
"mys",TRUE,FALSE,,"2015-05-20 12:10:28"
"myt",TRUE,FALSE,,"2015-05-20 12:10:28"
"nam",TRUE,FALSE,,"2015-05-20 12:10:29"
"ncl",TRUE,FALSE,,"2015-05-20 12:10:30"
"nfk",TRUE,FALSE,,"2015-05-20 12:10:31"
"nga",TRUE,FALSE,,"2015-05-20 12:10:32"
"nic",TRUE,FALSE,,"2015-05-20 12:10:33"
"niu",TRUE,FALSE,,"2015-05-20 12:10:34"
"nld",TRUE,TRUE,,"2015-05-20 12:10:34"
"nor",TRUE,FALSE,,"2015-05-20 12:10:35"
"nru",TRUE,FALSE,,"2015-05-20 12:10:36"
"nzl",TRUE,FALSE,,"2015-05-20 12:10:37"
"omn",TRUE,FALSE,,"2015-05-20 12:10:39"
"pak",TRUE,FALSE,,"2015-05-20 12:10:39"
"pan",TRUE,FALSE,,"2015-05-20 12:10:40"
"per",TRUE,FALSE,,"2015-05-20 12:10:41"
"phl",TRUE,FALSE,,"2015-05-20 12:10:42"
"plw",TRUE,FALSE,,"2015-05-20 12:10:43"
"png",TRUE,FALSE,,"2015-05-20 12:10:44"
"prk",TRUE,FALSE,,"2015-05-20 12:10:45"
"prt",TRUE,FALSE,,"2015-05-20 12:10:46"
"pyf",TRUE,FALSE,,"2015-05-20 12:10:47"
"qat",TRUE,FALSE,,"2015-05-20 12:10:48"
"reu",TRUE,FALSE,,"2015-05-20 12:10:49"
"rou",TRUE,FALSE,,"2015-05-20 12:10:50"
"rus",TRUE,FALSE,,"2015-05-20 12:10:51"
"sau",TRUE,FALSE,,"2015-05-20 12:10:52"
"sdn",TRUE,FALSE,,"2015-05-20 12:10:53"
"sen",TRUE,FALSE,,"2015-05-20 12:10:54"
"sgp",TRUE,FALSE,,"2015-05-20 12:10:55"
"sgs",TRUE,FALSE,,"2015-05-20 12:10:56"
"shn",TRUE,FALSE,,"2015-05-20 12:10:56"
"slb",TRUE,FALSE,,"2015-05-20 12:10:57"
"sle",TRUE,FALSE,,"2015-05-20 12:10:58"
"slv",TRUE,FALSE,,"2015-05-20 12:10:59"
"som",TRUE,FALSE,,"2015-05-20 12:11:00"
"spm",TRUE,FALSE,,"2015-05-20 12:11:01"
"stp",TRUE,FALSE,,"2015-05-20 12:11:03"
"sur",TRUE,FALSE,,"2015-05-20 12:11:03"
"svn",TRUE,FALSE,,"2015-05-20 12:11:04"
"swe",TRUE,FALSE,,"2015-05-20 12:11:05"
"sxm",TRUE,FALSE,,"2015-05-20 12:11:06"
"syc",TRUE,FALSE,,"2015-05-20 12:11:07"
"syr",TRUE,FALSE,,"2015-05-20 12:11:08"
"tca",TRUE,FALSE,,"2015-05-20 12:11:08"
"tgo",TRUE,FALSE,,"2015-05-20 12:11:09"
"tha",TRUE,FALSE,,"2015-05-20 12:11:10"
"tkl",TRUE,FALSE,,"2015-05-20 12:11:11"
"tls",TRUE,FALSE,,"2015-05-20 12:11:12"
"ton",TRUE,FALSE,,"2015-05-20 12:11:13"
"tto",TRUE,FALSE,,"2015-05-20 12:11:14"
"tun",TRUE,FALSE,,"2015-05-20 12:11:14"
"tur",TRUE,FALSE,,"2015-05-20 12:11:15"
"tuv",TRUE,FALSE,,"2015-05-20 12:11:16"
"twn",TRUE,FALSE,,"2015-05-20 12:11:17"
"tza",TRUE,FALSE,,"2015-05-20 12:11:18"
"ukr",TRUE,FALSE,,"2015-05-20 12:11:19"
"ury",TRUE,FALSE,,"2015-05-20 12:11:19"
"usa",FALSE,TRUE,,"2015-05-20 12:11:20"
"vct",TRUE,FALSE,,"2015-05-20 12:11:21"
"ven",TRUE,FALSE,,"2015-05-20 12:11:22"
"vgb",TRUE,FALSE,,"2015-05-20 12:11:23"
"vnm",TRUE,FALSE,,"2015-05-20 12:11:24"
"vut",TRUE,FALSE,,"2015-05-20 12:11:24"
"wlf",TRUE,FALSE,,"2015-05-20 12:11:25"
"wsm",TRUE,FALSE,,"2015-05-20 12:11:26"
"yem",TRUE,FALSE,,"2015-05-20 12:11:27"
"zaf",TRUE,TRUE,"passed","2015-05-20 13:44:12"
"abw",TRUE,TRUE,"enabled","2015-05-20 13:51:44"
"ago",TRUE,TRUE,"enabled","2015-05-20 13:51:55"
"alb",TRUE,TRUE,"enabled","2015-05-20 13:52:09"
"are",TRUE,TRUE,"enabled","2015-05-20 13:52:26"
"arg",TRUE,TRUE,"enabled","2015-05-20 13:52:41"
"atg",TRUE,TRUE,"enabled","2015-05-20 13:52:51"
"aus",TRUE,TRUE,"enabled","2015-05-20 13:53:02"
"bel",TRUE,TRUE,"enabled","2015-05-20 13:53:18"
"ben",TRUE,TRUE,"enabled","2015-05-20 13:53:34"
"bgd",TRUE,TRUE,"enabled","2015-05-20 13:53:46"
"bgr",TRUE,TRUE,"enabled","2015-05-20 14:08:47"
"bhr",TRUE,TRUE,"enabled","2015-05-20 14:08:59"
"bhs",TRUE,TRUE,"enabled","2015-05-20 14:09:15"
"bih",TRUE,TRUE,"enabled","2015-05-20 14:09:33"
"bmu",TRUE,TRUE,"enabled","2015-05-20 14:09:52"
"bra",TRUE,TRUE,"enabled","2015-05-20 14:10:14"
"brb",TRUE,TRUE,"enabled","2015-05-20 14:10:24"
"brn",TRUE,TRUE,"enabled","2015-05-20 14:10:48"
"bvt",TRUE,TRUE,"enabled","2015-05-20 14:10:58"
"can",TRUE,TRUE,"enabled","2015-05-20 14:11:08"
"cck",TRUE,TRUE,"enabled","2015-05-20 14:11:18"
"chl",TRUE,TRUE,"enabled","2015-05-20 14:11:40"
"cmr",TRUE,TRUE,"enabled","2015-05-20 14:12:00"
"cod",TRUE,TRUE,"enabled","2015-05-20 14:12:12"
"cok",TRUE,TRUE,"enabled","2015-05-20 14:12:29"
"col",TRUE,TRUE,"enabled","2015-05-20 14:12:38"
"com",TRUE,TRUE,"enabled","2015-05-20 14:12:54"
