"gl_rgn_id","gl_rgn_name","gl_cntry_key","gl_cntry_count","sc_rgn_id","sc_rgn_name","sc_rgn_inland_shp"
171,"Brazil","BRA",2,9,"Alagoas","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,17,"Amapá","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,7,"Bahia","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,13,"Ceará","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,6,"Espírito Santo","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,15,"Maranhão","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,3,"Paraná","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,11,"Paraíba","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,16,"Pará","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,10,"Pernambuco","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,12,"Piauí","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,14,"Rio Grande do Norte","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,1,"Rio Grande do Sul","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,5,"Rio de Janeiro","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,2,"Santa Catarina","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,8,"Sergipe","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","BRA",2,4,"São Paulo","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","Trindade",2,9,"Alagoas","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","Trindade",2,17,"Amapá","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","Trindade",2,7,"Bahia","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","Trindade",2,13,"Ceará","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
171,"Brazil","Trindade",2,6,"Espírito Santo","/Volumes/data_edit/git-annex/clip-n-ship/Brazil/spatial/rgn_inland_gcs.shp"
