"gl_rgn_id","gl_rgn_name","sc_key"
92,"Amsterdam Island and Saint Paul Island","xas"
26,"Andaman and Nicobar","xan"
213,"Antarctica","ata"
250,"Aruba","abw"
85,"Ascension","asc"
55,"Azores","xaz"
34,"Bassas da India","xbi"
245,"Bonaire","xbq"
58,"Canary Islands","xci"
91,"Crozet Islands","xcz"
244,"Curacao","cuw"
30,"Glorioso Islands","xgl"
140,"Guadeloupe and Martinique","xgm"
158,"Howland Island and Baker Island","xhb"
35,"Ile Europa","xeu"
36,"Ile Tromelin","xit"
79,"Israel","isr"
144,"Jan Mayen","sjm"
149,"Jarvis Island","xjv"
159,"Johnston Atoll","xjo"
33,"Juan de Nova Island","xjn"
93,"Kerguelen Islands","xkg"
148,"Line Group","xlg"
4,"Macquarie Island","xmq"
57,"Madeira","xma"
13,"Northern Mariana Islands and Guam","mnp"
237,"Oecussi Ambeno","xoa"
150,"Palmyra Atoll","xpa"
157,"Phoenix Group","xpx"
146,"Pitcairn","pcn"
90,"Prince Edward Islands","xpe"
116,"Puerto Rico and Virgin Islands of the United States","xpv"
248,"Saba","bes"
249,"Sint Eustatius","ant"
88,"Tristan da Cunha","taa"
12,"Wake Island","xwk"
