"sc_key","status_orig","status_now"
"dji","passed","failed"
"gin","passed","failed"
"gnb","passed","errored"
"gnq","passed","failed"
"grc","passed","failed"
"grd","passed","failed"
"guf","passed","failed"
"hnd","passed","failed"
"hrv","passed","failed"
"hti","passed","failed"
"idn","passed","failed"
"irn","passed","failed"
"isl","passed","failed"
"ita","passed","failed"
"jam","passed","failed"
"jor","passed","failed"
"khm","passed","failed"
"kir","passed","failed"
"kwt","passed","failed"
"lbn","passed","failed"
"lbr","passed","failed"
"lby","passed","failed"
"lca","passed","failed"
"lka","passed","failed"
"nic","passed","failed"
"ury","passed","errored"
"usa","passed","errored"
"vct","passed","errored"
"wlf","passed","logged"
"wsm","passed","logged"
"yem","passed","logged"
"zaf","passed","logged"
"cmr","passed","logged"
