"rgn_id","product","year","usd"
1,"fish_oil",1976,1223
1,"fish_oil",1977,1278.75
1,"fish_oil",1978,1353.75
1,"fish_oil",1979,1428.5
1,"fish_oil",1980,1563.25
1,"fish_oil",1981,1509.75
1,"fish_oil",1982,1368.25
1,"fish_oil",1983,1174.5
1,"fish_oil",1984,932.75
1,"fish_oil",1985,791.5
1,"fish_oil",1986,890.5
1,"fish_oil",1987,1003.5
1,"fish_oil",1988,1239.75
1,"fish_oil",1989,1661.75
1,"fish_oil",1990,1865
1,"fish_oil",1991,2363.5
1,"fish_oil",1992,3053.25
1,"fish_oil",1993,3692
1,"fish_oil",1994,4501.25
1,"fish_oil",1995,5737
1,"fish_oil",1996,7280
1,"fish_oil",1997,9001
1,"fish_oil",1998,9815
1,"fish_oil",1999,9674.75
1,"fish_oil",2000,9112.5
1,"fish_oil",2001,8616
1,"fish_oil",2002,10237.5
1,"fish_oil",2003,11756.8
1,"fish_oil",2004,12822.8
1,"fish_oil",2005,14846.5
1,"fish_oil",2006,16549.8
1,"fish_oil",2007,18585
1,"fish_oil",2008,19054.8
1,"fish_oil",2009,18661.5
1,"fish_oil",2010,17451.3
1,"fish_oil",2011,15303
1,"ornamentals",1976,78.3333
1,"ornamentals",1977,83.5
1,"ornamentals",1978,109.5
1,"ornamentals",1979,151.5
1,"ornamentals",1980,181.25
1,"ornamentals",1981,243.75
1,"ornamentals",1982,332.5
1,"ornamentals",1983,399
1,"ornamentals",1984,524.75
1,"ornamentals",1985,592.75
1,"ornamentals",1986,595.75
1,"ornamentals",1987,632
1,"ornamentals",1988,627.25
1,"ornamentals",1989,621
1,"ornamentals",1990,638.25
1,"ornamentals",1991,582.5
1,"ornamentals",1992,590.25
1,"ornamentals",1993,441.5
1,"ornamentals",1994,285.25
1,"ornamentals",1995,177.25
1,"ornamentals",1996,1.75
1,"ornamentals",1997,1.75
1,"ornamentals",1998,6
1,"ornamentals",1999,6.75
1,"ornamentals",2000,161.5
1,"ornamentals",2001,197
1,"ornamentals",2002,192.5
1,"ornamentals",2003,191.5
1,"ornamentals",2004,38.25
1,"ornamentals",2005,30
1,"ornamentals",2006,34.5
1,"ornamentals",2007,37.25
1,"ornamentals",2008,52.25
1,"ornamentals",2009,32.5
1,"ornamentals",2010,37.3333
1,"ornamentals",2011,50.5
1,"seaweeds",1994,240.667
1,"seaweeds",1995,229.75
1,"seaweeds",1996,241.5
1,"seaweeds",1997,416.25
1,"seaweeds",1998,545
1,"seaweeds",1999,822.75
1,"seaweeds",2000,758
1,"seaweeds",2001,624.5
1,"seaweeds",2002,465.5
1,"seaweeds",2003,184.75
1,"seaweeds",2004,157.75
1,"seaweeds",2005,166.75
1,"seaweeds",2006,193
1,"seaweeds",2007,234.5
1,"seaweeds",2008,365.75
1,"seaweeds",2009,462.25
1,"seaweeds",2010,539.667
1,"seaweeds",2011,634
1,"shells",1995,3.66667
1,"shells",1996,3
1,"shells",1997,7.75
1,"shells",1998,11.25
1,"shells",1999,22.25
1,"shells",2000,48.5
1,"shells",2001,72
1,"shells",2002,74.5
1,"shells",2003,86.75
1,"shells",2004,72.75
1,"shells",2005,72.75
1,"shells",2006,120.5
1,"shells",2007,124.75
1,"shells",2008,124.5
1,"shells",2009,98.5
1,"shells",2010,59.6667
1,"shells",2011,29.5
1,"sponges",1994,22
1,"sponges",1995,23.75
