"rgn_id","value"
1,0.484
2,0.484
3,0.484
4,0.484
5,0.484
6,0.558
7,0.558
8,0.558
9,0.558
10,NA
11,0.704592
12,0.704592
13,0.704592
14,0.704592
15,0.558
16,0.558
17,0.632
18,0.632
19,0.632
20,0.632
21,0.558
22,0.558
23,0.632
24,0.632
25,0.632
