"rgn_id","year","popsum"
1,2005,980697
1,2006,853332
1,2007,854378
1,2008,855424
1,2009,856470
1,2010,986776
1,2011,858465
1,2012,859415
1,2013,860364
1,2014,861314
1,2015,992300
2,2005,129475
2,2006,112812
2,2007,112090
2,2008,111367
2,2009,110645
2,2010,125350
2,2011,109201
2,2012,108478
2,2013,107756
2,2014,107033
2,2015,121224
3,2005,179189
3,2006,155140
3,2007,154122
3,2008,153104
3,2009,152086
3,2010,173374
3,2011,150079
3,2012,149090
3,2013,148100
3,2014,147111
3,2015,167720
4,2005,237565
4,2006,207162
4,2007,207558
4,2008,207953
4,2009,208349
4,2010,239826
4,2011,209115
4,2012,209484
4,2013,209854
4,2014,210224
4,2015,241938
5,2005,55951.8
5,2006,48577.6
5,2007,48295.2
5,2008,48012.8
5,2009,47730.4
5,2010,54334.9
5,2011,47162.5
5,2012,46877
5,2013,46591.4
5,2014,46305.9
5,2015,52700.1
6,2005,1.49168e+06
6,2006,1.29937e+06
6,2007,1.2997e+06
6,2008,1.30003e+06
6,2009,1.30036e+06
6,2010,1.49373e+06
6,2011,1.28718e+06
6,2012,1.27367e+06
6,2013,1.26016e+06
6,2014,1.24665e+06
6,2015,1.41629e+06
7,2005,849689
7,2006,731978
7,2007,725294
7,2008,718609
7,2009,711925
7,2010,811422
7,2011,691713
7,2012,678185
7,2013,664658
7,2014,651130
7,2015,733759
8,2005,224131
8,2006,197447
8,2007,198802
8,2008,200157
8,2009,201512
8,2010,231817
8,2011,202116
8,2012,201365
8,2013,200614
8,2014,199863
8,2015,227470
9,2005,49323.1
9,2006,42577
9,2007,41780.9
9,2008,40984.8
9,2009,40188.7
9,2010,44799.2
9,2011,38282.6
9,2012,37172.6
9,2013,36062.6
9,2014,34952.6
9,2015,38492.9
10,NA,NA
11,2005,262258
11,2006,227723
11,2007,227559
11,2008,227395
11,2009,227232
11,2010,261383
11,2011,226795
11,2012,226523
11,2013,226250
11,2014,225978
11,2015,259878
12,2005,495029
12,2006,432608
12,2007,431494
12,2008,430380
12,2009,429265
12,2010,488620
12,2011,426834
12,2012,425516
12,2013,424199
12,2014,422881
12,2015,481051
13,2005,262322
13,2006,226360
13,2007,225709
13,2008,225058
13,2009,224406
13,2010,258523
13,2011,222992
13,2012,222230
13,2013,221467
13,2014,220704
13,2015,254081
14,2005,45383.4
14,2006,37864.5
14,2007,37610.9
14,2008,37357.3
14,2009,37103.7
14,2010,43868.1
14,2011,36584.7
14,2012,36319.3
14,2013,36053.9
14,2014,35788.5
14,2015,42282.5
15,2005,1.32224e+06
15,2006,1.18187e+06
15,2007,1.18015e+06
15,2008,1.17843e+06
15,2009,1.17671e+06
15,2010,1.31282e+06
15,2011,1.17228e+06
15,2012,1.16956e+06
15,2013,1.16684e+06
15,2014,1.16412e+06
15,2015,1.29782e+06
16,2005,1.66823e+06
16,2006,1.42835e+06
16,2007,1.43025e+06
16,2008,1.43216e+06
16,2009,1.43406e+06
16,2010,1.67837e+06
16,2011,1.4369e+06
16,2012,1.43782e+06
16,2013,1.43875e+06
16,2014,1.43968e+06
16,2015,1.68278e+06
17,2005,191532
17,2006,164389
17,2007,164347
17,2008,164305
17,2009,164263
17,2010,191301
17,2011,164099
17,2012,163977
17,2013,163855
17,2014,163733
17,2015,190601
18,2005,778076
18,2006,618329
18,2007,591186
18,2008,564044
18,2009,536901
18,2010,614784
18,2011,487914
18,2012,466069
18,2013,444224
18,2014,422379
18,2015,483364
19,2005,1.28436e+06
19,2006,1.12095e+06
19,2007,1.11112e+06
19,2008,1.1013e+06
19,2009,1.09147e+06
19,2010,1.22854e+06
19,2011,1.0711e+06
19,2012,1.06056e+06
19,2013,1.05001e+06
19,2014,1.03946e+06
19,2015,1.16862e+06
20,2005,322778
20,2006,280026
20,2007,279330
20,2008,278633
20,2009,277937
20,2010,318751
20,2011,276506
20,2012,275771
20,2013,275036
20,2014,274300
20,2015,314502
21,2005,201492
21,2006,172681
21,2007,170960
21,2008,169238
21,2009,167516
21,2010,191567
21,2011,164171
21,2012,162547
21,2013,160924
21,2014,159301
21,2015,182208
22,2005,871723
22,2006,765916
22,2007,759485
22,2008,753054
22,2009,746623
22,2010,835473
22,2011,733974
22,2012,727757
22,2013,721540
22,2014,715322
22,2015,800426
23,2005,59347.4
23,2006,47804.5
23,2007,47541.5
23,2008,47278.5
23,2009,47015.5
23,2010,57733.4
23,2011,46477.7
23,2012,46203
23,2013,45928.2
23,2014,45653.4
23,2015,56046.8
24,2005,54781
24,2006,49163.2
24,2007,48830.2
24,2008,48497.3
24,2009,48164.3
24,2010,52938.3
24,2011,47489.7
24,2012,47148.2
24,2013,46806.6
24,2014,46465.1
24,2015,51048.2
25,2005,18033.2
25,2006,16231.6
25,2007,16156.9
25,2008,16082.2
25,2009,16007.4
25,2010,17620
25,2011,15852.2
25,2012,15771.8
25,2013,15691.3
25,2014,15610.8
25,2015,17175
