"sc_rgn_id","sc_rgn_name","gl_rgn_name"
1,"Alaska","United States"
2,"Nunavut","Canada"
3,"Beaufort Sea","Canada"
4,"Russia","Russia"
5,"Svalbard","Norway"
6,"Norway","Norway"
7,"Jan Mayen","Norway"
8,"West Greenland","Greenland"
9,"East Greenland","Greenland"
