"rgn_id","rgn_name","rgn_global"
1,"Alaska",163,
2,"Nunavut",218
3,"Beaufort Sea",218
4,"Russia",73
5,"Svalbard",223
6,"Norway",223
7,"Jan Mayen",223
8,"West Greenland",145
9,"East Greenland",145
