"rgn_id","habitat","km2"
1,"mangrove",0
1,"rocky_reef",1357.9
1,"seagrass",8.73251
1,"soft_bottom",147902
1,"saltmarsh",29.3
1,"seaice_edge",12928.9
1,"seaice_shoreline",5805.76
2,"mangrove",0
2,"rocky_reef",1357.9
2,"seagrass",8.73251
2,"soft_bottom",147902
2,"saltmarsh",29.3
2,"seaice_edge",12928.9
2,"seaice_shoreline",5805.76
3,"mangrove",0
3,"rocky_reef",1357.9
3,"seagrass",8.73251
3,"soft_bottom",147902
3,"saltmarsh",29.3
3,"seaice_edge",12928.9
3,"seaice_shoreline",5805.76
4,"mangrove",0
4,"rocky_reef",1357.9
4,"seagrass",8.73251
4,"soft_bottom",147902
4,"saltmarsh",29.3
4,"seaice_edge",12928.9
4,"seaice_shoreline",5805.76
5,"mangrove",0
5,"rocky_reef",1357.9
5,"seagrass",8.73251
5,"soft_bottom",147902
5,"saltmarsh",29.3
5,"seaice_edge",12928.9
5,"seaice_shoreline",5805.76
6,"mangrove",0
6,"soft_bottom",78581.2
6,"seaice_edge",13733.1
6,"seaice_shoreline",8239.89
7,"mangrove",0
7,"soft_bottom",78581.2
7,"seaice_edge",13733.1
7,"seaice_shoreline",8239.89
8,"mangrove",0
8,"soft_bottom",78581.2
8,"seaice_edge",13733.1
8,"seaice_shoreline",8239.89
9,"mangrove",0
9,"soft_bottom",78581.2
9,"seaice_edge",13733.1
9,"seaice_shoreline",8239.89
10,NA,NA
11,"mangrove",0
11,"rocky_reef",254.989
11,"seagrass",747.503
11,"soft_bottom",99114.8
11,"seaice_edge",6014.09
11,"seaice_shoreline",4350.49
12,"mangrove",0
12,"rocky_reef",254.989
12,"seagrass",747.503
12,"soft_bottom",99114.8
12,"seaice_edge",6014.09
12,"seaice_shoreline",4350.49
13,"mangrove",0
13,"rocky_reef",254.989
13,"seagrass",747.503
13,"soft_bottom",99114.8
13,"seaice_edge",6014.09
13,"seaice_shoreline",4350.49
14,"mangrove",0
14,"rocky_reef",254.989
14,"seagrass",747.503
14,"soft_bottom",99114.8
14,"seaice_edge",6014.09
14,"seaice_shoreline",4350.49
15,"mangrove",0
15,"soft_bottom",56146.5
15,"saltmarsh",283.45
15,"seaice_edge",2428
15,"seaice_shoreline",2270.22
16,"mangrove",0
16,"soft_bottom",56146.5
16,"saltmarsh",283.45
16,"seaice_edge",2428
16,"seaice_shoreline",2270.22
17,"mangrove",0
17,"seagrass",2.61975
17,"soft_bottom",31909.5
17,"saltmarsh",7.05
17,"seaice_edge",1516.54
18,"mangrove",0
18,"rocky_reef",736.15
18,"seagrass",668.91
18,"soft_bottom",3.80404e+06
18,"seaice_edge",712797
18,"seaice_shoreline",460188
19,"mangrove",0
19,"rocky_reef",736.15
19,"seagrass",668.91
19,"soft_bottom",3.80404e+06
19,"seaice_edge",712797
19,"seaice_shoreline",460188
20,"mangrove",0
20,"soft_bottom",6132.84
20,"seaice_edge",1053.92
20,"seaice_shoreline",335.478
21,"mangrove",0
21,"soft_bottom",28203.4
21,"saltmarsh",0.82
21,"seaice_edge",2890.62
21,"seaice_shoreline",2025.12
22,"mangrove",0
22,"soft_bottom",28203.4
22,"saltmarsh",0.82
22,"seaice_edge",2890.62
22,"seaice_shoreline",2025.12
23,"mangrove",0
23,"soft_bottom",36344.7
23,"saltmarsh",5
23,"seaice_edge",5450.37
23,"seaice_shoreline",3592.22
24,"mangrove",0
24,"soft_bottom",36344.7
24,"saltmarsh",5
24,"seaice_edge",5450.37
24,"seaice_shoreline",3592.22
25,"mangrove",0
25,"soft_bottom",36344.7
25,"saltmarsh",5
25,"seaice_edge",5450.37
25,"seaice_shoreline",3592.22
